Date and Time,"Hydro-only, KtCO2e","Estimated, KtCO2e","Coal-only, KtCO2e"
2021-12-12 00:00:00,0.037274999999999996,0.8955135950105599,1.776775
2021-12-13 00:00:00,0.0369831,0.8885008406608997,1.7628611
2021-12-14 00:00:00,0.0372078,0.8938991479660339,1.7735718
2021-12-15 00:00:00,0.037632,0.9040903449346048,1.7937919999999998
2021-12-16 00:00:00,0.0380184,0.9133734154406298,1.8122103999999999
2021-12-17 00:00:00,0.038115,0.9156941830671359,1.816815
2021-12-18 00:00:00,0.0381402,0.9162996007088332,1.8180162
2021-12-19 00:00:00,0.0382872,0.9198312036187339,1.8250232000000002
2021-12-20 00:00:00,0.038577,0.9267935064982528,1.838837
2021-12-21 00:00:00,0.0387849,0.9317882020422553,1.8487469
2021-12-22 00:00:00,0.038925600000000005,0.9351684505417317,1.8554536000000001
2021-12-23 00:00:00,0.0389277,0.9352189020118733,1.8555537
2021-12-24 00:00:00,0.0390936,0.9392045681530469,1.8634616000000002
2021-12-25 00:00:00,0.039324599999999994,0.9447542298686055,1.8744726
2021-12-26 00:00:00,0.0395976,0.9513129209869926,1.8874856
2021-12-27 00:00:00,0.0402171,0.9661961046787173,1.9170151
2021-12-28 00:00:00,0.040404,0.9706862855213055,1.925924
2021-12-29 00:00:00,0.040389299999999996,0.9703331252303155,1.9252233
2021-12-30 00:00:00,0.0405132,0.9733097619686604,1.9311292
2021-12-31 00:00:00,0.0404838,0.9726034413866803,1.9297278
2022-01-01 00:00:00,0.0403431,0.9585576371854065,1.9230211
2022-01-02 00:00:00,0.0402066,0.9553143783015873,1.9165146
2022-01-03 00:00:00,0.0397971,0.9455846016501296,1.8969951
2022-01-04 00:00:00,0.039696300000000004,0.9431895797051554,1.8921903
2022-01-05 00:00:00,0.0396774,0.9427405130904728,1.8912893999999998
2022-01-06 00:00:00,0.039689999999999996,0.9430398908335944,1.89189
2022-01-07 00:00:00,0.0397635,0.9447862610018049,1.8953935
2022-01-08 00:00:00,0.0397236,0.9438382314819191,1.8934916000000002
2022-01-09 00:00:00,0.0397257,0.9438881277724395,1.8935917
2022-01-10 00:00:00,0.0396732,0.942640720509432,1.8910892
2022-01-11 00:00:00,0.0395997,0.9408943503412216,1.8875857
2022-01-12 00:00:00,0.0395451,0.939597046787694,1.8849831
2022-01-13 00:00:00,0.0394716,0.9378506766194837,1.8814795999999998
2022-01-14 00:00:00,0.0395199,0.9389982913014505,1.8837819
2022-01-15 00:00:00,0.0397404,0.9442374018060815,1.8942924
2022-01-16 00:00:00,0.0398601,0.9470814903657384,1.8999981
2022-01-17 00:00:00,0.0399987,0.950374645540078,1.9066047000000002
2022-01-18 00:00:00,0.0401163,0.9531688378092146,1.9122103
2022-01-19 00:00:00,0.0401499,0.9539671784575394,1.9138119
2022-01-20 00:00:00,0.0402927,0.9573601262129193,1.9206187
2022-01-21 00:00:00,0.039971400000000004,0.9497259937633141,1.9053034
2022-01-22 00:00:00,0.039851700000000004,0.9468819052036573,1.8995977
2022-01-23 00:00:00,0.0398622,0.9471313866562586,1.9000982
2022-01-24 00:00:00,0.0398412,0.9466324237510557,1.8990972
2022-01-25 00:00:00,0.040103700000000006,0.9528694600660927,1.9116097
2022-01-26 00:00:00,0.0403851,0.9595555629958125,1.9250231000000002
2022-01-27 00:00:00,0.041315399999999995,0.9816596196963036,1.9693674
2022-01-28 00:00:00,0.0426531,1.0134435567577322,2.0331311
2022-01-29 00:00:00,0.043646399999999995,1.0370445021738322,2.0804784
2022-01-30 00:00:00,0.0442491,1.051364737553157,2.1092071
2022-01-31 00:00:00,0.0445809,1.059248351455364,2.1250229
2022-02-01 00:00:00,0.042833699999999995,1.0177346377424774,2.0417397
2022-02-02 00:00:00,0.0429156,1.0196805930727693,2.0456436
2022-02-03 00:00:00,0.041884500000000005,0.9951815144273038,1.9964945
2022-02-04 00:00:00,0.0417312,0.9915390852193222,1.9891872000000002
2022-02-05 00:00:00,0.041391,0.9834558861550341,1.972971
2022-02-06 00:00:00,0.0411117,0.9768196795158348,1.9596577
2022-02-07 00:00:00,0.0410004,0.7212245270611379,1.9543523999999999
2022-02-08 00:00:00,0.042831600000000004,0.7532454595649521,2.0416396
2022-02-09 00:00:00,0.0429198,0.7525716547009715,2.0458438
2022-02-10 00:00:00,0.04333769999999999,0.760529531551155,2.0657636999999998
2022-02-11 00:00:00,0.042903000000000004,0.7545143719359148,2.045043
2022-02-12 00:00:00,0.04333769999999999,0.7711515206714955,2.0657636999999998
2022-02-13 00:00:00,0.04300589999999999,0.7348300052136745,2.0499479
2022-02-14 00:00:00,0.04257329999999999,0.7435565500631999,2.0293273
2022-02-15 00:00:00,0.0422961,0.7388412248585937,2.0161141
2022-02-16 00:00:00,0.04208189999999999,0.7339993015424278,2.0059039
2022-02-17 00:00:00,0.0419139,0.7298567487260559,1.9978959
2022-02-18 00:00:00,0.041745899999999996,0.7319036348811047,1.9898879
2022-02-19 00:00:00,0.040992,0.7179893204517682,1.953952
2022-02-20 00:00:00,0.0412734,0.7212732070544082,1.9673653999999998
2022-02-21 00:00:00,0.0417585,0.7306673103719801,1.9904884999999999
2022-02-22 00:00:00,0.04203779999999999,0.7350062813181678,2.0038017999999997
2022-02-23 00:00:00,0.04236119999999999,0.7412171966648528,2.0192172
2022-02-24 00:00:00,0.042470400000000005,0.7437326968174652,2.0244224
2022-02-25 00:00:00,0.0425355,0.7467813946621689,2.0275255
2022-02-26 00:00:00,0.042629999999999994,0.7480784361038513,2.03203
2022-02-27 00:00:00,0.04274549999999999,0.7509147923437454,2.0375354999999997
2022-02-28 00:00:00,0.04283789999999999,0.7523704460410989,2.0419399
2022-03-01 00:00:00,0.0429114,0.7554899944992444,2.0454434
2022-03-02 00:00:00,0.04291349999999999,0.7562528640360124,2.0455435
2022-03-03 00:00:00,0.0429009,0.7563944328725992,2.0449429
2022-03-04 00:00:00,0.0429681,0.7579320107234646,2.0481461
2022-03-05 00:00:00,0.0431613,0.7607294917908157,2.0573553
2022-03-06 00:00:00,0.0433125,0.7633948054169435,2.0645625
2022-03-07 00:00:00,0.0435162,0.7642348164285478,2.0742722
2022-03-08 00:00:00,0.043755600000000006,0.7711467139437306,2.0856836000000003
2022-03-09 00:00:00,0.0440706,0.7777022502899312,2.1006986000000003
2022-03-10 00:00:00,0.0445725,0.7884574976328759,2.1246225
2022-03-11 00:00:00,0.0449862,0.7963164824491432,2.1443422
2022-03-12 00:00:00,0.0454377,0.8059533545348501,2.1658637
2022-03-13 00:00:00,0.0457002,0.8086684415494786,2.1783762
2022-03-14 00:00:00,0.0459039,0.8125399333673767,2.1880859
2022-03-15 00:00:00,0.0460383,0.8150374098041864,2.1944923
2022-03-16 00:00:00,0.0460089,0.8098065974774828,2.1930909
2022-03-17 00:00:00,0.0459522,0.8113898375360055,2.1903881999999997
2022-03-18 00:00:00,0.0458829,0.8089126977685612,2.1870849
2022-03-19 00:00:00,0.0456456,0.8058253288836992,2.1757736
2022-03-20 00:00:00,0.0455154,0.8038121167828493,2.1695674
2022-03-21 00:00:00,0.045418799999999995,0.80048653111531,2.1649627999999996
2022-03-22 00:00:00,0.0453852,0.8006948905286282,2.1633611999999998
2022-03-23 00:00:00,0.0454062,0.8013077841781486,2.1643622000000002
2022-03-24 00:00:00,0.0453915,0.7980932484407045,2.1636615000000003
2022-03-25 00:00:00,0.0453705,0.7993970319647293,2.1626605
2022-03-26 00:00:00,0.045507,0.8049192404782415,2.169167
2022-03-27 00:00:00,0.0456078,0.803091411510006,2.1739718
2022-03-29 00:00:00,0.0468888,0.8290038950623415,2.2350328
2022-03-30 00:00:00,0.046977,0.8322347958785447,2.239237
2022-03-31 00:00:00,0.0467964,0.8266774433444639,2.2306284
2022-04-01 00:00:00,0.046676699999999995,0.8267965603164229,2.2249227
2022-04-02 00:00:00,0.0464373,0.81868143947418,2.2135113
2022-04-03 00:00:00,0.046284,0.8177098992998383,2.206204
2022-04-04 00:00:00,0.0468384,0.8292070958217521,2.2326304
2022-04-05 00:00:00,0.046143300000000005,0.8133249589586163,2.1994973
2022-04-06 00:00:00,0.046153799999999995,0.8102447059789659,2.1999978000000002
2022-04-07 00:00:00,0.0462252,0.8172134073462052,2.2034011999999996
2022-04-08 00:00:00,0.046187399999999997,0.8136463054319724,2.2015994
2022-04-09 00:00:00,0.0462021,0.8120029295832272,2.2023001
2022-04-10 00:00:00,0.04625460000000001,0.8134583985537593,2.2048026
2022-05-17 00:00:00,0.047726700000000004,0.839433775717336,2.2749726999999997
2022-05-18 00:00:00,0.0473697,0.8308626170150513,2.2579557
2022-05-19 00:00:00,0.0476469,0.8319848082397368,2.2711689
2022-05-20 00:00:00,0.0483945,0.84152264035321,2.3068045
2022-05-21 00:00:00,0.049182000000000003,0.8560570961536724,2.344342
2022-05-22 00:00:00,0.0497658,0.8708366015920223,2.3721698
2022-05-23 00:00:00,0.0504819,0.8830793485213606,2.4063038999999997
2022-05-24 00:00:00,0.0499275,0.8712026323041906,2.3798775
2022-05-27 00:00:00,0.0518742,0.9128490879484744,2.4726702
2022-05-28 00:00:00,0.050484,0.8717961555773597,2.406404
2022-05-29 00:00:00,0.0494025,0.8508682578178991,2.3548525
2022-05-30 00:00:00,0.0483357,0.8314701840776434,2.3040016999999997
2022-05-31 00:00:00,0.0483378,0.8356076832899014,2.3041017999999998
2022-06-01 00:00:00,0.0474684,0.8245744218723903,2.2626604
2022-06-02 00:00:00,0.0474222,0.8224011286816096,2.2604582
2022-06-03 00:00:00,0.0445746,0.7704247794488454,2.1247226
2022-06-04 00:00:00,0.0451059,0.7836752315474805,2.1500479
2022-06-05 00:00:00,0.045712800000000005,0.7912736223588307,2.1789768
2022-06-06 00:00:00,0.0461076,0.7995975534181091,2.1977956
2022-06-07 00:00:00,0.04544189999999999,0.7872997636569369,2.1660639
2022-06-08 00:00:00,0.0457653,0.7936429717721666,2.1814793
2022-06-09 00:00:00,0.0454251,0.788318653597734,2.1652631
2022-06-10 00:00:00,0.0458262,0.7981651288453478,2.1843822
2022-06-11 00:00:00,0.0463953,0.8102621049154038,2.2115093000000003
2022-06-12 00:00:00,0.0467817,0.8153574471066588,2.2299277
2022-06-13 00:00:00,0.0472059,0.8199910642365721,2.2501479
2022-06-14 00:00:00,0.047833799999999996,0.8307548049773777,2.2800778
2022-06-15 00:00:00,0.048268500000000006,0.8382592574551492,2.3007985
2022-06-16 00:00:00,0.0485688,0.8451096929604333,2.3151128
2022-06-17 00:00:00,0.0490182,0.8528497388502385,2.3365342
2022-06-18 00:00:00,0.049289099999999995,0.8542657215293424,2.3494471
2022-06-19 00:00:00,0.0496377,0.8636978102577834,2.3660637
2022-06-20 00:00:00,0.0500094,0.871367216130455,2.3837813999999997
2022-06-21 00:00:00,0.0501753,0.8716148174118109,2.3916893
2022-06-22 00:00:00,0.0504777,0.8785165650287481,2.4061037
2022-06-23 00:00:00,0.0506751,0.8833550905827108,2.4155131
2022-06-24 00:00:00,0.050649900000000005,0.8831928814171535,2.4143119
2022-06-25 00:00:00,0.0506646,0.8853999976740152,2.4150126
2022-06-26 00:00:00,0.0506079,0.8831697137298933,2.4123099000000003
2022-06-27 00:00:00,0.0507465,0.8878761370917767,2.4189165
2022-06-28 00:00:00,0.0508536,0.8839057893327388,2.4240216
2022-06-29 00:00:00,0.0509943,0.8904427426429149,2.4307283
